code,trump_diff
us-co-059,-1.9845300806227095
us-co-061,10.356282864022804
us-co-063,-2.9491707480647222
us-co-065,1.7159062206939635
us-co-067,-4.627292401426702
us-co-069,-1.8893494740691519
us-co-071,-0.04961222216539607
us-co-073,-2.5510080411984104
us-co-075,-2.8413605870313385
us-co-077,-2.1278265084079373
us-co-079,1.0419861963190113
us-co-081,2.735713525275041
us-co-083,1.72278246554054
us-co-085,-0.7430920045370493
us-co-087,-3.563095299600416
us-co-089,-3.3989129025321363
us-co-091,-3.5782294241508747
us-co-093,0.2771783087666235
us-co-095,-3.375571281981371
us-co-097,-1.5614731116382812
us-co-099,5.220306513409967
us-co-101,-6.55941327183926
us-co-103,-1.1611507678996325
us-co-105,-0.9119504935012235
us-co-107,-4.575016105353347
us-co-109,3.4645376004052544
us-co-111,-2.6318326424370984
us-co-113,-3.124392520803612
us-co-115,-4.206677056954633
us-co-117,-0.7102423574635974
us-co-119,-1.9180868448383737
us-co-121,-2.7559309011338518
us-co-123,-6.167016711646123
us-co-125,-3.295858910073024
us-ct-001,-1.7313569165645137
us-ct-003,2.4754165533783565
us-ct-005,5.63280064737936
us-ct-007,7.4377715395363975
us-ct-009,8.335730052885548
us-ct-011,14.53485478231315
us-ct-013,9.814944576253732
us-ct-015,15.545536056907327
us-de-001,-0.17499895191090964
us-de-003,0.22067887415171406
us-de-005,3.229847971444666
us-dc-001,
us-dc-001,
us-fl-001,-4.199924073594952
us-fl-003,5.226715007389582
us-fl-005,-2.438405159849344
us-fl-007,2.8259624677888895
us-fl-009,-4.785342491387079
us-fl-011,-2.6835535071224936
us-fl-013,1.6219068438634188
us-fl-015,0.9056128210632841
us-fl-017,0.706613952275148
us-fl-019,-0.7076687293456785
us-fl-021,-7.20984897459096
us-fl-023,1.7899984362251486
us-fl-027,1.3540215269041145
us-fl-029,4.472615975912153
us-fl-031,-6.9395247671486695
us-fl-033,-2.274704651711279
us-fl-035,-2.3867934634520527
us-fl-037,1.37841594602377
us-fl-039,7.229330189266636
us-fl-041,1.593375798718888
us-fl-043,1.8911857020323386
us-fl-045,0.3440646726939889
us-fl-047,11.095207372370918
us-fl-049,2.7012228003187144
us-fl-051,-3.1522363775127182
us-fl-053,1.176681047686079
us-fl-055,-0.3374718127995391
us-fl-057,-1.6108939683630474
us-fl-059,3.2169517872655096
us-fl-061,-4.901352087918598
us-fl-063,1.2151995308267605
us-fl-065,9.014121230952416
us-fl-067,3.2768962848297223
us-fl-069,-2.610342276951827
us-fl-071,-5.194782190607416
us-fl-073,-1.5185720624636745
us-fl-075,1.4594225189836108
us-fl-077,5.378126213592238
us-fl-079,7.640180694890092
us-fl-081,-6.131418831338897
us-fl-083,0.7679055234399157
us-fl-085,-1.0824915065664742
us-fl-086,-20.951818375421173
us-fl-087,-4.9678690149843945
us-fl-089,-5.179064751207729
us-fl-091,-1.2571798807783918
us-fl-093,0.20767201403387725
us-fl-095,-1.9353544929847477
us-fl-097,-0.8124377553091477
us-fl-099,1.7071507856036339
us-fl-101,-9.132922520229304
us-fl-103,-5.155388727327864
us-fl-105,-1.26561996210518
us-fl-107,8.116645637117525
us-fl-109,-6.149118513868146
us-fl-111,1.4067822653558326
us-fl-113,-1.6915423813555819
us-fl-115,-4.296240170525644
us-fl-117,-3.842358029058107
us-fl-119,-1.7426471631878049
us-fl-121,1.4518675826781124
us-fl-123,3.5536545126383157
us-fl-125,2.724352320769041
us-fl-127,-1.7406585769338179
us-fl-129,1.5821855777077176
us-fl-131,0.06776183964548599
us-fl-133,0.46967285135086634
us-ga-001,-2.147705802945954
us-ga-003,-0.9661807466385675
us-ga-005,-16.318407960199
us-ga-007,9.161324786324782
us-ga-009,-52.24000992802185
us-ga-011,-12.057347670250895
us-ga-013,-27.36407432897453
us-ga-015,-3.300429367335256
us-ga-017,-3.8361000753695085
us-ga-019,-2.0433970411736224
us-ga-021,-1.4957191520304836
us-ga-023,-4.293766777829056
us-ga-025,-11.64894461196635
us-ga-027,-3.10194810884874
us-ga-029,-30.606999275028013
us-ga-031,-5.841484265055641
us-ga-033,-3.9061406306159063
us-ga-035,-29.398780744166487
us-ga-037,9.49040845218445
us-ga-039,-34.871170837521824
us-ga-043,-3.523729498081285
us-ga-045,-3.5542790985584993
us-ga-047,-21.979295137720968
us-ga-049,-26.51892430278885
us-ga-051,-59.258796882523946
us-ga-053,4.8837955657778656
us-ga-055,-21.69171110033932
us-ga-057,-6.829809428878509
us-ga-059,-71.72491995731056
us-ga-061,7.3805613082910835
us-ga-063,8.61585479634227
us-ga-065,-29.653767820773936
us-ga-067,-2.9971533879146417
us-ga-069,-1.9804510278498055
us-ga-071,-4.698635765080528
us-ga-073,-8.937067419469724
us-ga-075,-4.429378806878804
us-ga-077,-5.195989127076672
us-ga-079,7.6334667149677955
us-ga-081,8.757291293751223
us-ga-083,-19.08042294136495
us-ga-085,-15.85210369740756
us-ga-087,7.44364182485281
us-ga-089,-5.614481219217729
us-ga-091,-3.801334533308798
us-ga-093,9.868990602518124
us-ga-095,1.3966189962196118
us-ga-097,42.98209151685199
us-ga-099,12.31266149870801
us-ga-101,-14.805414551607443
us-ga-103,-15.824138059531222
us-ga-105,-33.742331288343564
us-ga-107,-3.787789248311002
us-ga-109,-5.308015408195777
us-ga-111,-18.455807653234004
us-ga-113,-1.2299894561347502
us-ga-115,-30.322468793342583
us-ga-117,-12.971436384414748
us-ga-119,-17.031286756057394
us-ga-121,-7.05224897228009
us-ga-123,-17.97541689501292
us-ga-125,-11.151079136690644
us-ga-127,-37.21507165163588
us-ga-129,-19.87446595284561
us-ga-131,10.875543231195717
us-ga-133,-37.98011748757343
us-ga-135,-10.345461457289662
us-ga-137,-18.795788955242255
us-ga-139,-26.821229524429235
us-ga-141,-76.45251396648045
us-ga-143,-15.602711983798534
