code,split_index
us-ga-015,0.034542602
us-ga-017,0.049455248
us-ga-019,0.021470379
us-ga-021,0.021584928
us-ga-023,0.048926003
us-ga-025,0.165608634
us-ga-027,0.038085409
us-ga-029,0.438344428
us-ga-031,0.068701423
us-ga-033,0.051694451
us-ga-035,0.428841707
us-ga-037,0.146306744
us-ga-039,0.505581715
us-ga-043,0.043156235
us-ga-045,0.03622066
us-ga-047,0.308947191
us-ga-049,0.390189243
us-ga-051,0.870316206
us-ga-053,0.089443984
us-ga-055,0.314650994
us-ga-057,0.074944308
us-ga-059,1.046346941
us-ga-061,0.114636149
us-ga-063,0.13997453
us-ga-065,0.436252546
us-ga-067,0.041867536
us-ga-069,0.021334505
us-ga-071,0.060827452
us-ga-073,0.112656014
us-ga-075,0.055874395
us-ga-077,0.056650664
us-ga-079,0.126093964
us-ga-081,0.139745951
us-ga-083,0.268103172
us-ga-085,0.220059499
us-ga-087,0.118557213
us-ga-089,0.065283565
us-ga-091,0.046390827
us-ga-093,0.15269928
us-ga-095,0.028928867
us-ga-097,0.661323565
us-ga-099,0.191481981
us-ga-101,0.214043993
us-ga-103,0.221781032
us-ga-105,0.4963691
us-ga-107,0.051091648
us-ga-109,0.068687488
us-ga-111,0.265958347
us-ga-113,0.027335901
us-ga-115,0.435549584
us-ga-117,0.169587072
us-ga-119,0.243413315
us-ga-121,0.086593487
us-ga-123,0.256674235
us-ga-125,0.161151079
us-ga-127,0.543983306
us-ga-129,0.282636215
us-ga-131,0.171111006
us-ga-133,0.560494803
us-ga-135,0.132051301
us-ga-137,0.264390815
us-ga-139,0.382649164
us-ga-141,1.141759777
us-ga-143,0.220965044
us-ga-145,0.052275936
us-ga-147,0.407581299
us-ga-149,0.022037338
us-ga-151,0.125802462
us-ga-153,0.062725327
us-ga-155,0.036060115
us-ga-157,0.281408606
us-ga-159,0.406451613
us-ga-161,0.017577741
us-ga-163,0.834601033
us-ga-165,0.047843158
us-ga-167,0.470699946
us-ga-169,0.037385614
us-ga-171,0.021752046
us-ga-173,0.038706269
us-ga-175,0.049697233
us-ga-177,0.077894338
us-ga-179,0.916000743
us-ga-181,0.482569478
us-ga-183,0.527325723
us-ga-185,0.055203564
us-ga-187,0.315171026
us-ga-189,0.613454899
us-ga-191,0.604353718
us-ga-193,0.094250578
us-ga-195,0.334180697
us-ga-197,0.145359246
us-ga-199,0.035211175
us-ga-201,0.175842216
us-ga-205,0.142876403
us-ga-207,0.052807905
us-ga-209,0.044861039
us-ga-211,0.44828496
us-ga-213,0.242173704
us-ga-215,0.019213855
us-ga-217,0.053365407
us-ga-219,0.472207057
us-ga-221,0.444186395
us-ga-223,0.450616428
us-ga-225,0.048087276
us-ga-227,0.240525716
us-ga-229,0.199767474
us-ga-231,0.026169028
us-ga-233,0.326028843
us-ga-235,0.073624358
us-ga-237,0.455628162
us-ga-239,0.20716481
us-ga-241,0.303678679
us-ga-243,0.171316358
us-ga-245,0.076480745
us-ga-247,0.022417826
us-ga-249,0.145576803
us-ga-251,0.062410252
us-ga-253,0.142508015
us-ga-255,0.039362922
us-ga-257,0.310494142
us-ga-259,0.194316681
us-ga-261,0.100013715
us-ga-263,0.064090647
us-ga-265,0.914715719
us-ga-267,0.050452214
us-ga-269,0.143999745
us-ga-271,0.009905328
us-ga-273,0.11518005
us-ga-275,0.049715594
us-ga-277,0.103287821
us-ga-279,0.042679213
us-ga-281,0.293613247
us-ga-283,0.060581474
us-ga-285,0.061038018
us-ga-287,0.100207872
us-ga-289,0.031286227
us-ga-291,0.264652242
us-ga-293,0.030923614
us-ga-295,0.296940224
us-ga-297,0.337092732
us-ga-299,0.442465529
us-ga-301,0.856898029
us-ga-303,0.757830044
us-ga-305,0.315038894
us-ga-307,0.147119114
us-ga-309,0.038465085
us-ga-311,0.245200034
us-ga-313,0.426952182
us-ga-315,0.05815224
us-ga-317,0.632634864
us-ga-319,0.04375552
us-ga-321,0.025858748
us-hi-001,0.176898546
us-hi-003,0.15570828
us-hi-007,0.218679857
us-hi-009,0.173930773
us-id-001,0.101666118
us-id-003,0.050076216
us-id-005,0.083005015
us-id-007,0.074047055
us-id-009,0.044827076
us-id-011,0.054446069
us-id-013,0.174589581
us-id-015,0.061314422
us-id-017,0.057437155
us-id-019,0.107525553
us-id-021,0.063277244
us-id-023,0.030105213
us-id-025,0.035444441
us-id-027,0.083475344
