,name,code,split_index
169,"Imperial County, CA",us-ca-025,0.04973842477243795
170,"Inyo County, CA",us-ca-027,0.0945984367993386
171,"Kern County, CA",us-ca-029,0.16365117593697712
172,"Kings County, CA",us-ca-031,0.22792487912454676
173,"Lake County, CA",us-ca-033,0.1472470366763789
174,"Lassen County, CA",us-ca-035,0.05637401834860244
175,"Los Angeles County, CA",us-ca-037,0.04793612813143669
176,"Madera County, CA",us-ca-039,0.097012796061347
177,"Marin County, CA",us-ca-041,0.038499901432969386
178,"Mariposa County, CA",us-ca-043,0.0618188864590985
179,"Mendocino County, CA",us-ca-045,0.08615871599945946
180,"Merced County, CA",us-ca-047,0.062087757262510146
181,"Modoc County, CA",us-ca-049,0.04080088193763674
182,"Mono County, CA",us-ca-051,0.10701694351744956
183,"Monterey County, CA",us-ca-053,0.06614686211856097
184,"Napa County, CA",us-ca-055,0.11118398846246419
185,"Nevada County, CA",us-ca-057,0.07923615748430443
186,"Orange County, CA",us-ca-059,0.06690532256995196
187,"Placer County, CA",us-ca-061,0.11691807595250783
188,"Plumas County, CA",us-ca-063,0.07164233388543326
189,"Riverside County, CA",us-ca-065,0.03636748490472633
190,"Sacramento County, CA",us-ca-067,0.06354581620644345
191,"San Benito County, CA",us-ca-069,0.05965618180694021
192,"San Bernardino County, CA",us-ca-071,0.06821717767175045
193,"San Diego County, CA",us-ca-073,0.07029747960815741
194,"San Francisco County, CA",us-ca-075,0.09456319835695337
195,"San Joaquin County, CA",us-ca-077,0.06130973904067277
196,"San Luis Obispo County, CA",us-ca-079,0.10496504801103246
197,"San Mateo County, CA",us-ca-081,0.041300078675787805
198,"Santa Barbara County, CA",us-ca-083,0.12832748346952377
199,"Santa Clara County, CA",us-ca-085,0.0354303588872949
200,"Santa Cruz County, CA",us-ca-087,0.07652540343854727
201,"Shasta County, CA",us-ca-089,0.04376189944485129
202,"Sierra County, CA",us-ca-091,0.08264469254268081
203,"Siskiyou County, CA",us-ca-093,0.0752163977009534
204,"Solano County, CA",us-ca-095,0.03954693482802435
205,"Sonoma County, CA",us-ca-097,0.04706890152075713
206,"Stanislaus County, CA",us-ca-099,0.06721968826066196
207,"Sutter County, CA",us-ca-101,0.08090067850374252
208,"Tehama County, CA",us-ca-103,0.041239794177580835
209,"Trinity County, CA",us-ca-105,0.09313383497485653
210,"Tulare County, CA",us-ca-107,0.18133320223387428
211,"Tuolumne County, CA",us-ca-109,0.06442851266251168
212,"Ventura County, CA",us-ca-111,0.05922116922982901
213,"Yolo County, CA",us-ca-113,0.05660285935038262
214,"Yuba County, CA",us-ca-115,0.07455191105741099
215,"Adams County, CO",us-co-001,0.02076758610787019
216,"Alamosa County, CO",us-co-003,0.04161523429089395
217,"Arapahoe County, CO",us-co-005,0.12715014608579098
218,"Archuleta County, CO",us-co-007,0.024964950169779676
219,"Baca County, CO",us-co-009,0.0069298385850597305
220,"Bent County, CO",us-co-011,0.03830609509964805
221,"Boulder County, CO",us-co-013,0.042892986832145624
222,"Broomfield County, CO",us-co-014,0.03198099843211599
223,"Chaffee County, CO",us-co-015,0.0643058594430608
224,"Cheyenne County, CO",us-co-017,0.010201760283910268
225,"Clear Creek County, CO",us-co-019,0.02661954668761768
226,"Conejos County, CO",us-co-021,0.035511294100066204
227,"Costilla County, CO",us-co-023,0.04499693431913199
228,"Crowley County, CO",us-co-025,0.013829461869340892
229,"Custer County, CO",us-co-027,0.028933432774575357
230,"Delta County, CO",us-co-029,0.0432083340155396
231,"Denver County, CO",us-co-031,0.04687515075828502
232,"Dolores County, CO",us-co-033,0.17009767802766024
233,"Douglas County, CO",us-co-035,0.1261982693448187
234,"Eagle County, CO",us-co-037,0.03519406613357595
235,"Elbert County, CO",us-co-039,0.05128555568505147
236,"El Paso County, CO",us-co-041,0.0693724973707141
237,"Fremont County, CO",us-co-043,0.009238993072720261
238,"Garfield County, CO",us-co-045,0.02184394106443674
239,"Gilpin County, CO",us-co-047,0.052912549714143664
240,"Grand County, CO",us-co-049,0.013938463112644794
241,"Gunnison County, CO",us-co-051,0.03218171227692823
242,"Hinsdale County, CO",us-co-053,0.04415720045041102
243,"Huerfano County, CO",us-co-055,0.04235091229327648
244,"Jackson County, CO",us-co-057,0.024642005188229774
245,"Jefferson County, CO",us-co-059,0.03080595527841895
246,"Kiowa County, CO",us-co-061,0.17039447357890525
247,"Kit Carson County, CO",us-co-063,0.03277931734215912
248,"Lake County, CO",us-co-065,0.045380131291028414
249,"La Plata County, CO",us-co-067,0.05199797538818801
250,"Larimer County, CO",us-co-069,0.026589936673962394
251,"Las Animas County, CO",us-co-071,0.01147102646003667
252,"Lincoln County, CO",us-co-073,0.02890245017275654
253,"Logan County, CO",us-co-075,0.03399142343592554
254,"Mesa County, CO",us-co-077,0.02448674821058014
255,"Mineral County, CO",us-co-079,0.051327645705521396
256,"Moffat County, CO",us-co-081,0.04733368979991226
